0,1,607,904,69,501
1,1,117,182,387,704
2,0,562,42,86,849
3,0,283,718,811,965
4,1,22,439,954,274
5,0,756,758,554,874
6,0,94,363,829,867
7,1,359,202,106,297
8,0,225,428,973,332
9,1,466,78,938,239
10,0,730,190,708,311
11,5,695,459,904,73
12,1,526,587,293,664
13,1,628,338,962,395
14,3,595,863,759,988
15,1,990,373,667,771
16,1,367,114,688,62
17,1,833,881,279,656
18,1,865,219,429,644
19,0,141,636,371,783
20,1,701,442,610,180
21,1,880,970,171,620
22,1,330,332,863,917
23,0,261,975,226,423
24,3,836,608,832,181
25,0,495,955,957,96
26,3,681,522,584,264
27,1,511,508,63,943
28,0,652,841,867,318
29,1,243,38,299,551
30,2,901,777,311,422
31,1,801,593,985,746
32,1,172,833,490,881
33,3,649,415,148,779
34,0,770,552,158,535
35,0,459,479,437,151
36,1,201,707,66,758
37,0,463,210,285,158
38,1,298,21,913,777
39,4,839,345,989,480
40,1,658,254,883,788
41,0,448,166,401,970
42,0,210,572,434,678
43,0,958,653,103,718
44,1,934,288,441,323
45,1,925,312,356,649
46,0,957,458,127,319
47,1,708,704,816,907
48,1,261,73,944,351
49,1,922,596,152,246
50,1,423,187,666,944
51,0,189,705,242,931
52,1,246,570,100,265
53,1,7,426,272,533
54,0,630,284,380,605
55,4,335,988,966,427
56,0,923,472,447,740
57,0,824,456,465,430
58,3,507,994,290,281
59,3,14,364,885,44
60,0,426,980,171,499
61,1,50,808,565,581
62,1,642,146,130,897
63,1,690,341,829,119
64,0,302,945,568,343
65,0,994,601,275,59
66,3,745,887,300,490
67,1,733,892,78,385
68,0,980,914,986,480
69,1,549,762,64,544
70,0,115,854,595,449
71,1,473,325,671,746
72,0,788,81,633,127
73,0,429,191,736,219
74,1,238,867,131,770
75,1,649,269,374,328
76,1,463,470,600,794
77,1,277,472,986,628
78,0,290,190,367,739
79,1,74,371,996,462
80,0,903,697,796,875
81,0,770,479,781,691
82,0,464,347,68,105
83,1,292,915,544,424
84,1,955,379,82,176
85,0,706,344,348,687
86,0,179,544,618,384
87,0,815,271,436,398
88,1,579,169,551,205
89,0,841,16,659,8
90,3,486,440,732,860
91,1,527,144,128,338
92,1,817,789,75,609
93,1,885,868,473,878
94,1,490,607,464,191
95,1,18,210,94,155
96,1,230,747,279,857
97,1,837,827,647,144
98,1,606,621,526,568
99,0,658,434,447,753
100,0,475,547,209,864
101,3,70,671,368,517
102,0,449,799,330,573
103,1,123,433,646,719
104,1,517,954,269,379
105,1,678,728,659,949
106,1,150,490,721,288
107,1,211,968,61,485
108,4,402,946,239,268
109,1,723,269,80,495
110,1,469,885,357,855
111,0,878,184,245,537
112,4,585,672,371,54
113,3,9,644,971,767
114,0,64,10,564,102
115,3,701,376,693,217
116,1,144,856,653,216
117,0,306,510,402,15
118,1,805,250,909,389
119,1,553,771,322,899
120,1,485,828,454,754
121,0,337,507,951,953
122,1,300,547,938,526
123,0,624,642,475,980
124,1,120,237,589,999
125,0,790,265,586,392
126,0,87,913,395,512
127,1,29,855,113,677
128,1,286,0,931,358
129,0,866,274,706,576
130,0,967,782,874,320
131,3,916,482,218,798
132,1,178,694,857,578
133,1,772,595,368,669
134,1,977,266,314,131
135,0,308,247,612,846
136,1,914,898,696,394
137,1,173,420,675,57
138,1,198,763,648,20
139,0,258,893,734,773
140,5,682,435,500,974
141,1,439,556,655,221
142,1,230,535,459,743
143,0,63,698,958,453
144,1,366,805,612,628
145,1,500,206,31,637
146,0,241,277,679,738
147,0,682,329,540,416
148,1,332,83,599,597
149,1,20,438,496,99
150,1,652,641,816,518
151,0,756,181,168,761
152,3,919,435,365,107
153,1,159,815,171,168
154,1,972,192,449,2
155,1,736,594,702,737
156,0,95,946,689,790
157,1,916,950,184,883
158,1,37,269,143,948
159,1,613,587,73,604
160,0,291,646,817,770
161,1,894,160,177,176
162,1,437,570,477,585
163,3,200,696,556,708
164,1,546,949,646,101
165,1,719,401,974,225
166,3,913,858,461,372
167,0,561,194,297,802
168,1,306,848,462,826
169,1,245,639,315,368
170,1,46,248,756,382
171,0,650,182,979,406
172,0,671,322,577,302
173,1,3,735,132,752
174,0,791,596,880,734
175,4,884,623,897,752
176,0,704,219,996,301
177,1,70,21,847,540
178,1,246,88,16,425
179,4,12,650,325,647
180,4,451,373,199,632
181,1,570,494,616,613
182,0,853,301,258,754
183,1,11,846,682,815
184,0,11,164,270,805
185,1,432,701,208,594
186,1,103,794,635,888
187,0,60,3,20,388
188,0,149,508,459,945
189,0,947,733,865,967
190,1,0,990,344,25
191,0,260,601,256,60
192,3,3,85,364,54
193,3,324,583,855,802
194,5,130,531,80,382
195,0,373,775,790,661
196,1,209,325,329,25
197,0,38,311,738,459
198,0,422,713,430,564
199,4,453,152,258,850
200,1,120,964,897,596
201,0,679,863,643,89
202,1,549,216,81,432
203,1,907,130,102,504
204,0,496,838,87,681
205,0,917,484,956,180
206,1,907,642,855,98
207,0,263,930,655,556
208,0,743,292,649,588
209,3,612,686,105,36
210,0,8,239,81,928
211,0,196,373,78,355
212,1,860,749,679,352
213,1,696,347,401,222
214,1,695,325,291,412
215,1,487,973,141,98
216,1,39,456,883,93
217,4,116,863,179,414
218,5,676,927,628,193
219,1,348,65,784,91
220,1,109,91,689,218
221,1,354,305,621,34
222,1,896,271,613,954
223,0,9,784,859,699
224,0,324,482,457,557
225,4,409,604,969,209
226,1,469,144,847,843
227,0,723,613,697,387
228,0,137,752,362,754
229,0,753,213,129,503
230,3,692,193,68,920
231,1,333,441,335,61
232,1,151,204,534,411
233,1,350,529,653,459
234,1,286,640,718,406
235,1,748,122,610,952
236,0,850,430,269,170
237,1,444,80,114,66
238,5,87,692,188,117
239,1,669,151,344,298
240,0,809,476,915,421
241,0,365,29,898,725
242,1,308,357,623,951
243,1,833,675,227,727
244,0,700,768,57,371
245,1,454,523,993,602
246,1,98,635,806,636
247,1,291,647,742,26
248,1,549,641,289,741
249,1,412,361,38,14
250,1,190,222,571,674
251,1,729,766,51,630
252,1,694,626,956,803
253,0,542,394,77,270
254,1,334,2,86,34
255,0,213,492,145,598
256,3,352,874,294,347
257,0,864,732,199,953
258,1,788,82,299,302
259,1,786,392,592,900
260,1,606,921,715,459
261,0,475,120,471,171
262,1,290,310,380,824
263,1,174,118,499,598
264,1,560,67,979,255
265,1,687,660,851,937
266,1,980,440,229,588
267,1,121,864,726,777
268,1,465,921,1,199
269,1,465,873,666,848
270,3,530,370,169,122
271,1,307,777,498,1
272,0,711,250,231,815
273,0,318,267,551,110
274,1,567,911,198,473
275,1,494,440,829,714
276,0,283,405,33,455
277,1,586,547,783,718
278,0,327,122,157,653
279,1,182,737,355,669
280,0,825,159,821,565
281,0,664,540,490,882
282,0,409,952,186,304
283,0,678,139,631,157
284,1,980,750,31,61
285,1,890,315,149,179
286,1,814,223,987,558
287,1,208,40,931,565
288,0,862,667,250,120
289,0,845,658,440,499
290,1,85,166,29,256
291,1,243,672,50,272
292,0,119,729,302,707
293,0,902,669,731,793
294,3,330,259,172,799
295,1,435,645,959,43
296,0,651,632,517,196
