0,1,512,460,756,661,820,375,10,797,805,37,448,976,542,235,526,332,93,683,390,326
1,1,932,207,627,169,584,724,20,403,730,872,152,419,589,418,633,276,604,135,847,23
2,0,766,792,201,231,494,306,978,41,755,718,481,740,355,521,887,43,746,479,46,947
3,0,558,131,660,248,540,172,382,468,192,23,889,959,900,862,64,273,611,521,168,778
4,1,945,480,943,741,601,643,533,543,327,880,961,175,784,66,96,588,276,363,214,548
5,0,141,124,2,557,640,549,800,763,986,516,8,334,738,333,82,999,933,904,6,212
6,0,808,401,659,958,26,604,529,548,830,800,799,3,501,617,600,89,691,820,363,208
7,1,858,596,288,863,804,494,732,305,105,192,237,258,761,879,78,213,274,260,301,299
8,0,981,970,395,778,924,609,300,130,392,384,325,583,148,100,459,895,638,902,36,582
9,1,917,586,520,417,825,535,862,776,555,725,970,694,508,604,999,251,857,519,620,126
10,0,961,973,560,219,578,773,38,691,535,487,312,982,481,259,916,212,322,782,507,907
11,5,511,722,402,500,302,329,92,259,346,190,733,227,497,893,585,963,663,146,742,900
12,1,158,650,192,719,137,211,303,685,704,820,821,769,72,281,729,1,436,136,545,248
13,1,32,800,888,560,960,574,852,192,455,426,715,75,813,782,171,740,45,747,109,245
14,3,49,941,283,925,232,461,465,343,704,282,505,386,62,304,464,174,324,936,948,849
15,1,794,224,443,726,832,579,878,789,975,530,496,652,900,186,519,377,157,711,747,877
16,1,714,56,612,43,36,439,878,809,848,695,573,461,887,902,965,305,159,279,512,278
17,1,794,206,239,218,309,640,737,214,995,584,117,988,452,543,719,700,528,412,883,645
18,1,51,80,572,841,129,681,75,169,978,363,150,347,367,448,417,234,532,729,503,101
19,0,366,149,679,947,264,480,194,166,152,604,881,613,607,893,910,705,787,50,57,4
20,1,94,838,361,677,124,229,270,549,337,142,50,67,287,960,169,44,246,618,840,193
21,1,79,165,163,231,457,611,135,900,650,773,953,811,286,916,575,596,376,573,423,283
22,1,475,882,444,655,533,828,350,927,355,151,878,687,210,987,539,376,603,323,27,487
23,0,226,267,781,189,459,852,646,438,417,572,79,750,906,96,613,42,477,333,383,934
24,3,58,535,446,478,876,750,419,341,932,140,722,992,657,360,13,270,894,440,871,703
25,0,278,96,439,493,662,883,830,476,155,552,337,245,441,498,541,523,588,960,207,489
26,3,546,790,388,846,653,625,500,357,392,949,447,438,641,803,289,779,67,958,267,816
27,1,205,740,159,83,352,475,185,345,594,117,709,992,262,833,631,723,57,846,647,929
28,0,268,562,131,818,881,892,134,980,329,857,482,944,197,322,999,825,78,724,146,730
29,1,53,433,786,408,117,427,796,492,126,837,390,782,898,615,664,623,926,406,228,656
30,2,547,110,297,525,886,946,118,779,215,773,413,133,82,8,202,443,660,634,333,576
31,1,120,392,560,786,169,422,827,214,836,237,438,954,632,397,222,427,813,941,626,127
32,1,812,900,164,505,853,770,938,78,771,947,248,648,283,549,398,386,91,61,88,265
33,3,76,210,995,970,611,132,220,680,681,418,899,469,834,336,942,627,32,31,250,649
34,0,389,223,19,711,684,280,880,16,867,326,821,651,580,771,95,915,912,415,860,82
35,0,369,271,74,596,889,867,468,624,607,769,565,621,966,262,445,931,217,398,202,157
36,1,269,321,948,554,708,695,194,956,419,706,729,701,530,190,128,769,657,763,73,722
37,0,223,471,181,257,417,756,198,177,998,353,175,767,646,741,431,315,135,465,284,924
38,1,284,666,582,842,905,813,775,51,87,198,639,479,976,950,740,119,881,282,214,475
39,4,771,94,280,149,999,93,547,247,762,898,409,677,683,141,597,69,300,576,915,318
40,1,68,435,394,123,5,766,442,371,182,294,827,138,309,330,770,277,892,504,737,265
41,0,19,716,693,822,676,471,586,542,467,297,457,105,524,875,494,376,991,851,745,289
42,0,208,21,369,251,688,214,461,658,878,473,181,470,32,603,420,913,611,918,756,298
