0,1,914,787,223,291,8,388,545,836,445,183,421,863,978,260
1,1,889,890,286,152,708,435,966,863,653,348,516,277,866,130
2,0,464,875,375,854,785,448,277,338,830,594,213,538,787,535
3,0,860,869,844,76,377,633,591,322,877,931,539,259,501,661
4,1,609,522,564,930,248,113,35,621,790,315,380,660,751,396
5,0,237,464,821,993,146,804,513,907,397,836,492,676,956,366
6,0,960,283,400,223,496,26,845,724,427,648,710,983,337,229
7,1,972,168,233,70,893,882,254,894,943,806,931,447,597,144
8,0,537,44,77,876,63,592,78,80,558,479,418,200,313,325
9,1,158,220,105,556,273,523,166,179,134,687,395,906,246,208
10,0,943,591,879,640,382,478,183,38,501,35,850,782,568,794
11,5,363,47,500,243,43,117,483,398,403,420,851,863,255,557
12,1,948,58,880,266,13,271,133,489,736,566,309,67,167,218
13,1,135,570,487,906,527,465,210,650,616,535,10,774,752,226
14,3,283,721,740,562,682,585,364,508,713,210,239,947,798,918
15,1,949,603,20,533,790,858,521,891,408,629,547,968,245,94
16,1,905,668,873,717,77,972,476,151,640,631,946,764,40,149
17,1,557,181,830,18,938,787,649,170,565,47,94,836,371,669
18,1,795,153,635,141,487,731,37,187,432,708,869,523,221,953
19,0,46,573,401,711,249,585,677,971,517,725,859,850,825,656
20,1,91,837,396,640,821,665,891,166,958,74,545,332,784,154
21,1,773,268,862,204,171,275,561,47,40,417,667,252,834,485
22,1,123,975,450,899,283,824,998,368,73,518,175,593,767,482
23,0,867,66,405,64,38,29,647,216,981,885,109,228,932,705
24,3,530,42,468,194,596,422,251,625,941,920,663,786,952,643
25,0,392,992,155,960,585,682,982,910,300,332,934,528,289,28
26,3,115,413,899,810,85,230,989,526,902,737,844,166,588,878
27,1,547,470,567,750,210,796,9,492,322,549,171,466,471,660
28,0,571,543,125,141,618,239,407,346,769,796,328,345,121,952
29,1,533,957,258,570,768,93,640,314,442,154,90,174,204,821
30,2,832,633,23,544,738,136,348,787,908,981,63,917,320,266
31,1,296,75,465,366,394,814,197,346,570,113,875,471,779,311
32,1,740,377,117,57,586,259,368,548,749,499,672,821,347,850
33,3,753,40,898,731,349,404,341,350,735,497,67,988,300,487
34,0,430,459,35,948,635,731,422,468,869,273,683,314,698,208
35,0,952,575,563,817,217,90,675,298,204,956,287,610,667,910
36,1,103,380,892,138,977,511,97,972,174,815,171,636,269,659
37,0,240,233,809,719,143,739,615,723,804,443,742,392,223,610
38,1,842,96,472,541,222,589,274,2,617,991,744,345,10,423
39,4,858,395,680,618,138,518,250,914,244,49,660,882,885,920
40,1,930,466,727,661,192,3,887,692,612,112,972,96,701,252
41,0,598,558,328,772,404,302,708,228,916,20,349,380,962,681
42,0,98,887,430,830,40,791,807,45,188,494,283,356,48,439
43,0,470,940,137,724,807,256,483,942,770,794,989,32,247,529
44,1,602,657,209,348,549,170,792,595,12,754,383,565,951,962
45,1,198,864,101,830,406,72,195,842,253,602,630,560,73,736
46,0,265,67,38,480,779,435,834,240,552,23,395,235,72,984
47,1,73,356,969,155,721,215,521,205,374,317,549,703,429,809
48,1,377,774,739,318,550,877,517,176,801,810,515,906,113,439
49,1,923,572,836,579,491,950,767,22,428,741,398,743,290,673
50,1,350,282,636,969,49,873,196,483,415,21,98,292,722,757
51,0,614,975,950,282,196,665,450,411,760,148,787,873,350,403
52,1,996,86,216,658,575,133,410,377,213,816,346,142,843,514
53,1,992,994,973,375,11,933,802,915,887,395,338,547,180,898
54,0,699,462,46,73,117,586,929,986,767,776,57,659,744,415
55,4,397,307,34,748,972,719,193,723,85,780,384,717,442,19
56,0,324,559,675,73,687,37,346,307,165,540,112,263,349,11
57,0,148,389,933,725,908,544,259,6,230,134,332,752,909,222
58,3,317,119,525,76,637,540,90,885,676,772,224,96,992,248
59,3,959,527,551,639,979,640,175,584,691,628,778,948,437,476
60,0,149,58,610,621,354,627,891,54,997,854,736,513,234,547
61,1,8,782,3,437,907,705,254,685,375,296,197,270,959,161
62,1,296,185,553,444,394,126,839,644,683,850,831,636,764,898
63,1,637,449,136,168,951,766,849,659,307,639,550,822,200,759
64,0,542,75,658,565,491,707,716,125,276,551,853,241,324,194
65,0,439,250,938,41,68,752,146,102,888,773,126,768,623,913
66,3,929,396,881,628,284,550,610,755,374,798,962,646,474,427
67,1,673,837,961,103,413,73,895,246,570,725,332,677,475,865
68,0,914,255,992,548,809,724,417,460,535,512,867,397,675,552
69,1,604,804,481,841,908,905,649,800,850,218,258,846,239,579
70,0,855,419,805,0,874,503,457,193,879,236,312,116,269,549
71,1,39,683,462,16,636,44,286,19,563,572,857,713,957,439
72,0,694,712,428,810,959,223,348,184,728,774,119,794,721,56
73,0,449,296,220,50,14,806,402,715,663,35,323,730,810,351
74,1,107,150,521,451,348,422,955,182,368,699,127,12,749,626
75,1,129,232,420,373,798,895,466,865,927,795,853,32,720,532
76,1,757,606,763,836,435,682,342,194,680,906,421,609,114,54
77,1,827,589,189,369,692,318,480,958,145,821,691,43,119,331
78,0,527,418,75,272,759,961,878,318,213,396,211,108,734,538
79,1,17,668,101,746,913,907,792,310,240,88,431,793,776,113
80,0,734,310,585,754,159,873,392,846,807,990,888,647,54,290
81,0,484,981,742,944,632,308,925,405,523,82,477,960,72,551
82,0,262,318,451,889,215,41,998,154,683,100,591,706,610,863
83,1,338,340,198,98,660,491,211,179,333,36,913,779,532,51
84,1,618,28,337,44,729,610,256,38,547,118,275,347,459,211
85,0,550,120,625,786,792,879,686,753,853,545,174,685,1,256
86,0,912,656,360,276,800,368,643,23,722,370,521,524,146,543
87,0,84,82,802,873,603,929,881,249,742,28,790,325,816,990
88,1,519,738,123,296,33,701,107,15,792,89,190,574,869,686
89,0,566,355,144,484,950,472,159,612,255,776,310,170,539,651
90,3,709,467,297,301,806,335,940,931,47,544,714,33,695,656
91,1,8,735,749,468,327,667,467,476,997,262,336,214,868,70
92,1,571,793,845,510,506,490,367,663,583,433,187,347,123,53
93,1,448,304,670,971,861,83,404,940,256,691,175,611,114,446
94,1,683,958,443,548,518,739,509,465,887,570,935,379,40,595
95,1,823,134,249,616,787,511,559,497,82,295,343,49,997,327
