0,1,336,731,869,513,527,929,545,809,666,290
1,1,636,315,858,181,426,887,176,16,128,839
2,0,891,187,511,656,256,217,597,100,493,421
3,0,580,538,428,59,443,747,977,66,993,607
4,1,351,803,654,138,263,87,766,491,508,33
5,0,868,814,778,72,177,851,162,847,674,817
6,0,386,824,755,809,399,66,977,772,191,742
7,1,315,845,94,677,17,184,865,258,67,339
8,0,773,284,457,716,360,991,565,820,861,956
9,1,10,125,711,222,230,193,29,547,422,211
10,0,540,117,701,481,235,795,36,199,288,218
11,5,746,388,882,702,346,649,710,550,367,676
12,1,31,935,663,348,205,877,204,418,507,470
13,1,129,749,386,952,513,111,396,708,440,987
14,3,843,502,890,594,693,214,873,522,738,477
15,1,575,192,566,689,960,425,303,471,103,893
16,1,317,963,557,485,406,192,255,603,368,562
17,1,179,791,943,6,571,96,157,922,638,968
18,1,841,35,557,485,21,626,223,407,123,112
19,0,290,552,807,239,198,451,523,670,971,808
20,1,637,737,716,746,344,966,986,840,815,196
21,1,320,649,704,377,884,251,153,512,541,155
22,1,906,780,21,758,830,992,546,178,781,891
23,0,646,411,936,200,182,677,360,415,989,362
24,3,462,172,371,917,43,691,848,585,710,774
25,0,203,433,945,130,345,566,952,337,979,790
26,3,345,70,311,4,520,866,459,440,466,418
27,1,234,523,994,531,567,469,652,149,281,203
28,0,557,456,600,273,70,926,912,930,400,948
29,1,929,538,894,483,13,770,398,642,758,456
30,2,198,445,768,736,25,753,4,687,902,972
31,1,914,703,341,213,553,114,599,850,248,140
32,1,843,882,701,215,556,158,63,42,334,390
33,3,332,598,427,636,938,141,81,769,508,574
34,0,341,887,496,857,414,709,598,2,659,803
35,0,234,454,924,201,630,768,272,920,868,231
36,1,830,392,724,220,849,596,722,397,833,573
37,0,502,200,20,268,986,962,702,84,666,241
38,1,240,941,88,428,243,857,331,474,361,8
39,4,767,481,278,993,451,839,601,800,872,422
40,1,108,724,197,836,381,690,248,759,377,507
41,0,30,800,667,159,120,221,938,783,574,164
42,0,393,220,573,643,563,723,138,621,284,508
43,0,458,439,117,995,881,600,62,589,149,72
44,1,945,324,56,253,293,832,354,224,188,401
45,1,179,96,813,172,153,322,264,978,88,530
46,0,802,398,367,962,216,564,608,0,297,590
47,1,119,969,511,99,926,4,535,450,181,8
48,1,572,547,991,32,698,990,50,329,858,8
49,1,554,788,698,301,80,514,798,812,220,985
50,1,954,172,834,915,722,790,762,381,641,889
51,0,765,907,713,656,401,210,175,622,46,155
52,1,123,121,312,606,583,8,866,871,585,649
53,1,778,678,211,305,294,699,246,41,986,341
54,0,882,231,299,295,53,522,732,905,117,266
55,4,229,845,197,612,990,7,345,160,26,653
56,0,241,629,700,561,510,225,638,646,907,976
57,0,728,345,110,574,66,475,854,573,23,964
58,3,989,582,497,905,996,274,364,815,117,842
59,3,165,852,591,523,814,357,720,855,6,326
60,0,882,736,6,273,466,748,147,279,498,826
61,1,883,427,38,256,516,296,913,842,605,339
62,1,578,293,919,776,549,781,247,505,55,79
63,1,31,101,765,800,416,786,755,906,459,370
64,0,138,250,935,172,447,906,860,390,939,374
65,0,275,331,430,220,723,890,753,936,364,139
66,3,173,442,753,768,802,111,801,489,516,450
67,1,997,339,178,860,595,503,642,630,670,858
68,0,54,574,70,860,830,674,821,824,331,509
69,1,902,957,546,286,842,32,394,550,342,580
70,0,127,157,668,640,477,816,106,561,183,814
71,1,788,591,968,154,454,311,245,338,429,355
72,0,561,929,5,249,950,322,468,447,745,593
73,0,909,872,325,650,592,33,932,768,736,289
74,1,532,388,53,100,716,816,617,675,196,869
75,1,820,524,589,288,181,110,454,242,503,311
76,1,63,852,517,253,576,487,317,550,477,237
77,1,755,464,207,452,905,433,908,327,695,458
78,0,953,241,184,63,752,288,96,959,679,868
79,1,163,149,456,491,123,762,72,672,418,808
80,0,339,74,531,562,222,736,528,568,997,289
81,0,884,821,972,457,296,708,106,808,806,738
82,0,174,201,312,661,61,166,997,673,218,139
83,1,620,55,725,521,810,879,139,490,645,389
84,1,879,500,973,518,138,418,463,490,100,566
85,0,875,813,222,906,287,577,323,705,233,937
86,0,84,400,441,468,391,424,62,862,958,911
87,0,997,397,586,844,727,979,332,394,8,956
88,1,868,419,291,416,791,612,238,477,325,980
89,0,170,90,35,872,159,922,971,702,863,813
90,3,261,547,564,219,876,605,360,284,888,292
91,1,379,331,208,9,784,507,588,914,963,655
92,1,941,162,902,256,53,667,16,541,621,5
93,1,892,218,643,871,532,168,336,558,18,509
94,1,0,58,237,108,171,302,268,409,644,423
95,1,6,22,135,263,714,944,872,587,946,141
96,1,752,476,206,732,667,749,408,760,8,936
97,1,349,296,573,847,437,812,706,426,805,327
98,1,826,593,46,358,922,720,723,828,786,823
99,0,792,9,777,244,521,736,689,120,929,196
100,0,564,523,511,200,272,262,514,927,986,692
101,3,816,683,670,455,962,539,956,540,416,609
102,0,804,165,726,444,753,276,980,686,698,363
103,1,492,349,645,6,475,227,693,792,304,844
104,1,973,547,33,661,529,179,930,964,368,713
105,1,674,60,188,305,377,45,702,739,163,38
106,1,980,360,742,862,484,871,330,987,71,898
107,1,463,730,286,840,341,174,219,873,192,173
108,4,155,273,136,482,784,131,887,423,737,143
109,1,140,782,648,930,897,704,545,383,67,680
110,1,126,145,428,880,912,470,445,574,704,503
111,0,274,291,661,58,329,452,236,678,961,825
112,4,4,363,345,579,376,90,234,180,364,272
113,3,82,427,27,508,885,357,217,534,364,661
114,0,823,352,355,680,818,810,585,28,362,126
115,3,248,432,397,642,471,488,290,347,968,698
116,1,820,991,690,247,943,903,736,479,188,929
117,0,46,629,206,691,618,147,243,635,235,899
118,1,99,3,928,355,705,824,196,817,94,829
119,1,330,833,46,396,426,905,727,432,760,323
120,1,568,738,653,37,822,625,325,632,979,956
121,0,52,807,761,520,535,488,151,171,11,565
122,1,257,354,657,330,119,40,221,424,552,716
123,0,69,954,104,80,255,341,555,647,350,111
124,1,676,91,233,75,773,549,811,871,806,725
125,0,154,937,147,721,825,334,708,682,329,32
126,0,218,381,826,230,235,85,0,187,554,241
127,1,622,579,678,333,749,44,897,396,247,857
128,1,942,614,96,413,648,692,28,872,796,910
129,0,58,969,45,104,646,184,561,262,446,861
130,0,422,432,822,246,527,409,902,210,26,855
131,3,787,607,406,793,574,67,532,82,393,85
132,1,51,784,897,551,667,16,724,523,585,913
133,1,332,824,705,342,999,502,797,853,241,813
134,1,639,169,742,204,575,941,738,260,402,124
135,0,69,297,73,644,183,947,806,492,160,141
136,1,795,419,949,70,122,679,575,855,661,859
137,1,287,722,707,250,265,227,769,365,634,388
138,1,533,462,580,887,493,429,61,838,62,769
139,0,178,471,836,104,884,822,928,618,86,800
140,5,961,93,324,595,726,259,327,939,997,503
141,1,886,353,59,467,919,145,554,290,862,126
142,1,66,536,419,279,292,389,433,800,755,356
143,0,722,540,776,633,590,240,901,90,57,201
144,1,80,800,264,721,886,195,733,295,674,76
145,1,648,866,98,114,107,247,925,582,409,149
146,0,595,0,910,672,819,97,857,501,898,712
147,0,841,612,36,407,288,356,443,398,876,392
148,1,553,6,306,37,582,664,802,916,724,285
149,1,684,264,276,480,947,669,874,273,125,186
150,1,768,368,205,703,1,200,251,697,857,732
151,0,169,527,837,403,775,466,400,110,88,615
152,3,130,778,899,800,913,587,115,450,466,252
153,1,415,602,691,311,973,839,797,841,924,55
154,1,191,800,701,298,77,73,9,484,371,572
155,1,457,389,153,548,339,6,163,480,879,832
