0,1,460,689,355,817,427,884,903,905
1,1,288,128,613,625,897,646,330,819
2,0,67,80,296,882,196,71,252,352
3,0,628,415,884,930,130,604,284,115
4,1,850,724,286,206,7,702,361,687
5,0,880,85,376,112,884,342,657,325
6,0,109,363,819,858,159,738,918,103
7,1,433,126,254,928,23,755,751,48
8,0,620,481,565,389,700,449,501,413
9,1,558,470,239,945,403,559,794,771
10,0,765,973,717,474,710,215,33,785
11,5,953,452,723,77,461,881,556,892
12,1,105,607,458,876,975,926,438,570
13,1,515,36,22,551,160,904,46,787
14,3,778,612,701,830,107,38,869,349
15,1,872,823,214,761,796,760,810,824
16,1,239,209,766,463,466,623,421,735
17,1,107,813,708,144,317,240,713,26
18,1,690,669,263,292,278,605,124,327
19,0,0,762,165,623,975,992,789,550
20,1,569,201,61,417,135,931,523,920
21,1,999,430,558,203,310,552,6,252
22,1,642,489,519,849,277,432,582,430
23,0,675,491,311,972,355,967,227,683
24,3,709,388,76,50,421,628,37,718
25,0,707,667,138,273,506,255,726,967
26,3,460,837,198,78,922,524,422,59
27,1,442,276,407,566,883,310,283,145
28,0,636,32,703,113,236,314,269,443
29,1,341,334,183,412,794,968,380,478
30,2,112,585,245,939,975,820,801,896
31,1,436,622,898,258,344,674,395,32
32,1,696,885,361,932,549,732,124,804
33,3,312,628,29,77,370,144,395,462
34,0,858,162,740,542,726,197,813,333
35,0,237,143,587,125,443,735,184,183
36,1,770,568,354,449,522,585,57,138
37,0,511,784,713,891,39,664,278,753
38,1,407,739,164,80,78,536,988,364
39,4,167,419,490,492,513,669,207,290
40,1,348,374,962,852,178,281,606,118
41,0,964,574,382,77,460,38,347,512
42,0,231,668,812,304,714,500,871,369
43,0,524,590,210,605,450,117,676,593
44,1,395,444,147,882,581,50,642,116
45,1,0,780,298,329,612,117,671,647
46,0,181,107,418,469,895,397,599,270
47,1,900,83,241,137,133,699,266,308
48,1,631,878,622,855,865,838,572,227
49,1,442,931,69,16,126,569,229,713
50,1,104,267,614,626,191,719,736,666
51,0,847,543,624,801,385,5,368,115
52,1,737,412,300,144,36,849,796,385
53,1,529,449,60,708,146,250,451,894
54,0,764,483,915,189,661,246,949,126
55,4,568,674,599,58,679,147,993,89
56,0,46,746,388,631,875,859,124,682
57,0,988,315,398,603,139,418,628,408
58,3,157,641,437,776,869,981,610,25
59,3,571,601,495,34,103,776,733,907
60,0,188,811,160,30,606,583,813,751
61,1,739,77,923,172,726,819,40,492
62,1,135,125,204,379,981,577,69,10
63,1,922,555,833,932,712,263,949,675
64,0,748,719,666,246,327,563,820,134
65,0,834,168,698,940,253,137,41,710
66,3,407,217,21,814,99,891,949,368
67,1,298,865,822,4,893,909,658,377
68,0,347,736,732,12,465,509,468,978
69,1,711,222,955,189,544,866,135,516
70,0,329,977,527,451,447,456,411,764
71,1,666,182,877,257,422,788,110,595
72,0,642,18,946,538,187,398,777,505
73,0,1,704,389,207,782,370,119,192
74,1,312,359,13,31,47,968,87,746
75,1,332,40,993,898,256,420,390,520
76,1,840,793,743,747,482,817,394,336
77,1,797,995,632,329,178,936,118,101
78,0,312,729,405,330,38,895,550,95
79,1,935,753,546,429,599,437,311,399
80,0,564,568,291,831,801,112,81,373
81,0,806,440,254,10,987,487,388,446
82,0,94,9,770,976,963,160,317,892
83,1,547,646,240,73,919,509,128,340
84,1,492,279,898,751,167,11,38,377
85,0,391,74,569,600,810,587,794,815
86,0,681,592,323,253,251,432,842,354
87,0,294,393,231,246,507,675,73,997
88,1,203,925,494,268,391,214,516,970
89,0,894,49,553,711,100,14,91,540
90,3,421,378,107,149,518,134,326,935
91,1,202,240,154,411,741,87,524,688
92,1,514,55,70,16,988,93,212,923
93,1,264,776,675,329,558,515,641,696
94,1,632,668,124,69,856,36,532,612
95,1,247,552,556,750,499,256,125,681
96,1,982,758,165,268,126,726,784,74
97,1,475,749,461,440,427,639,313,605
98,1,951,176,211,905,175,955,483,961
99,0,804,926,573,620,275,486,809,686
100,0,921,693,710,953,250,504,550,610
101,3,909,87,265,311,954,391,437,444
102,0,412,352,125,876,224,894,199,587
103,1,25,492,840,270,980,185,774,309
104,1,123,646,78,984,233,985,376,422
105,1,78,177,123,69,813,373,219,962
106,1,628,51,546,750,795,273,291,5
107,1,311,442,859,512,552,175,619,511
108,4,265,68,829,80,651,849,33,998
109,1,843,138,82,181,504,523,853,360
110,1,744,208,381,206,905,867,807,83
111,0,782,494,802,871,83,957,339,808
112,4,128,927,579,180,321,990,301,893
113,3,918,296,648,833,639,26,644,368
114,0,699,136,235,459,324,246,177,370
115,3,699,557,351,435,107,534,795,574
116,1,421,175,426,353,628,133,807,266
117,0,366,372,960,794,978,507,136,434
118,1,572,818,857,239,623,440,252,934
119,1,685,719,934,110,92,58,322,370
120,1,291,149,798,957,63,492,731,194
121,0,903,203,16,323,295,372,728,873
122,1,401,923,81,931,834,489,531,172
123,0,986,997,31,693,98,124,951,826
124,1,35,322,734,226,619,808,75,222
125,0,489,100,497,901,214,532,528,412
126,0,357,743,451,837,907,834,244,249
127,1,731,370,408,247,48,672,580,310
128,1,525,907,950,59,615,672,686,996
