0,1,873,446,331,405,195,96,542,581,11,955,239,94
1,1,318,108,475,168,202,627,865,612,868,187,253,986
2,0,489,384,481,946,610,884,964,649,889,847,491,960
3,0,808,181,191,2,127,302,544,692,938,262,846,381
4,1,123,111,177,601,647,30,963,868,823,480,54,251
5,0,115,107,327,541,300,834,622,385,426,910,725,743
6,0,29,514,971,443,162,535,116,534,164,589,206,335
7,1,937,604,108,422,621,631,367,440,721,526,574,997
8,0,983,185,863,748,195,290,344,493,334,505,448,490
9,1,473,990,115,365,125,149,758,101,383,876,585,903
10,0,559,50,692,690,839,769,39,780,640,141,137,146
11,5,870,105,424,846,463,547,993,960,939,235,193,535
12,1,684,32,511,238,591,866,921,790,767,636,524,583
13,1,191,406,467,372,729,328,600,835,623,989,197,490
14,3,335,95,702,93,754,764,664,616,816,295,131,677
15,1,76,794,788,673,895,249,858,595,340,171,382,282
16,1,411,920,957,1,88,561,964,836,9,527,399,47
17,1,893,610,480,339,157,290,542,370,383,973,323,843
18,1,952,41,955,472,283,34,891,33,603,940,458,178
19,0,618,223,151,278,407,373,198,486,779,532,761,48
20,1,808,83,273,261,568,226,234,285,181,94,30,410
21,1,617,734,555,930,739,170,301,567,982,675,987,852
22,1,501,310,560,782,106,132,568,181,534,88,847,669
23,0,57,77,552,173,232,760,454,178,734,460,979,354
24,3,711,785,326,756,425,260,686,852,328,0,333,179
25,0,90,557,398,944,482,321,132,832,877,667,754,609
26,3,116,802,714,320,639,927,152,479,819,697,633,481
27,1,725,742,470,421,901,140,363,823,878,580,547,3
28,0,412,878,529,191,436,695,679,248,439,758,683,832
29,1,163,446,600,520,91,86,999,4,149,642,165,797
30,2,100,51,488,15,33,284,465,591,784,119,877,982
31,1,479,352,257,542,355,933,552,165,70,149,646,507
32,1,317,362,509,160,190,133,619,104,15,149,682,533
33,3,891,347,538,184,289,943,881,84,725,733,568,409
34,0,481,461,713,582,377,830,965,525,243,639,83,807
35,0,862,607,538,198,490,103,48,643,895,496,66,429
36,1,674,975,782,949,973,347,736,550,763,940,568,936
37,0,501,176,61,523,565,471,762,175,740,643,915,190
38,1,762,650,533,439,234,862,159,63,81,374,521,697
39,4,526,502,974,973,85,426,577,173,911,909,763,454
40,1,864,457,994,376,627,805,84,968,852,86,256,16
41,0,79,410,925,851,36,561,607,507,750,182,290,858
42,0,156,149,778,654,389,919,599,585,404,644,214,48
43,0,342,372,907,819,351,744,276,678,832,973,581,918
44,1,542,283,335,273,215,915,756,746,164,645,848,927
